Verbleibende Zeit;Gewinnanteil;Verbleibende Preise;Teilnehmer;Ausgespielte Preise
0,03%;0,00%;100,00%;0;0
0,06%;0,00%;100,00%;0;0
0,09%;0,00%;99,93%;1;1
0,11%;0,00%;99,93%;0;0
0,14%;0,00%;99,93%;0;0
0,17%;0,00%;99,93%;0;0
0,20%;0,00%;99,93%;0;0
0,23%;0,00%;99,93%;0;0
0,26%;100,00%;99,93%;1;1
0,29%;0,00%;99,86%;0;0
0,32%;0,00%;99,86%;0;0
0,34%;0,00%;99,79%;1;1
0,37%;0,00%;99,71%;1;1
0,40%;0,00%;99,64%;1;1
0,43%;0,00%;99,64%;0;0
0,46%;0,00%;99,64%;0;0
0,49%;0,00%;99,64%;0;0
0,52%;0,00%;99,64%;0;0
0,54%;0,00%;99,57%;1;1
0,57%;0,00%;99,43%;2;2
0,60%;0,00%;99,36%;1;1
0,63%;100,00%;99,29%;2;2
0,66%;0,00%;99,21%;0;0
0,69%;100,00%;99,21%;1;1
0,72%;100,00%;99,14%;1;1
0,74%;0,00%;98,93%;2;2
0,77%;0,00%;98,93%;0;0
0,80%;100,00%;98,93%;1;1
0,83%;0,00%;98,86%;0;0
0,86%;0,00%;98,86%;0;0
0,89%;100,00%;98,86%;1;1
0,92%;0,00%;98,79%;0;0
0,95%;0,00%;98,79%;0;0
0,97%;0,00%;98,71%;1;1
1,00%;0,00%;98,71%;0;0
1,03%;0,00%;98,71%;0;0
1,06%;0,00%;98,64%;1;1
1,09%;100,00%;98,50%;3;3
1,12%;0,00%;98,43%;0;0
1,15%;0,00%;98,36%;1;1
1,17%;100,00%;98,36%;1;1
1,20%;0,00%;98,14%;2;2
1,23%;0,00%;98,07%;1;1
1,26%;0,00%;98,07%;0;0
1,29%;0,00%;97,79%;4;4
1,32%;0,00%;97,64%;4;2
1,35%;0,00%;97,64%;0;0
1,37%;80,00%;97,57%;2;1
1,40%;0,00%;97,57%;0;0
1,43%;0,00%;97,50%;2;1
1,46%;60,00%;97,50%;1;0
1,49%;30,00%;97,50%;3;0
1,52%;10,00%;97,43%;7;1
1,55%;0,00%;97,43%;0;0
1,58%;0,00%;97,36%;4;1
1,60%;10,00%;97,36%;2;0
1,63%;0,00%;97,36%;2;0
1,66%;0,00%;97,29%;1;1
1,69%;20,00%;97,29%;3;0
1,72%;10,00%;97,29%;3;0
1,75%;0,00%;97,29%;0;0
1,78%;0,00%;97,21%;3;1
1,80%;10,00%;97,21%;3;0
1,83%;0,00%;97,14%;1;1
1,86%;0,00%;97,14%;1;0
1,89%;30,00%;97,07%;3;1
1,92%;0,00%;97,07%;1;0
1,95%;0,00%;97,07%;2;0
1,98%;20,00%;97,07%;1;1
2,00%;0,00%;97,00%;1;0
2,03%;0,00%;97,00%;2;0
2,06%;0,00%;96,93%;2;1
2,09%;20,00%;96,93%;2;0
2,12%;0,00%;96,93%;3;0
2,15%;0,00%;96,86%;2;1
2,18%;0,00%;96,86%;2;0
2,21%;0,00%;96,86%;1;0
2,23%;0,00%;96,79%;2;1
2,26%;20,00%;96,79%;1;0
2,29%;0,00%;96,71%;3;1
2,32%;20,00%;96,71%;2;0
2,35%;10,00%;96,71%;4;0
2,38%;0,00%;96,64%;3;1
2,41%;10,00%;96,64%;4;0
