+-----+------------+------+-------+
| id  | date       | hour | count |
+-----+------------+------+-------+
|   1 | 2020-12-14 |    0 |     0 |
|   2 | 2020-12-14 |    1 |     2 |
|   3 | 2020-12-14 |    2 |     2 |
|   4 | 2020-12-14 |    3 |     0 |
|   5 | 2020-12-14 |    4 |     2 |
|   5 | 2020-12-14 |    5 |     8 |
|   6 | 2020-12-14 |    6 |    13 |
|   7 | 2020-12-14 |    7 |     4 |
|   8 | 2020-12-14 |    8 |    14 |
|  10 | 2020-12-14 |    9 |    19 |
|  11 | 2020-12-14 |   10 |     9 |
|  13 | 2020-12-14 |   11 |    12 |
|  14 | 2020-12-14 |   12 |     5 |
|  15 | 2020-12-14 |   13 |    14 |
|  16 | 2020-12-14 |   14 |    19 |
|  17 | 2020-12-14 |   15 |    10 |
|  18 | 2020-12-14 |   16 |    14 |
|  19 | 2020-12-14 |   17 |    20 |
|  20 | 2020-12-14 |   18 |    12 |
|  21 | 2020-12-14 |   19 |    24 |
|  22 | 2020-12-14 |   20 |    33 |
|  23 | 2020-12-14 |   21 |    15 |
|  24 | 2020-12-14 |   22 |    11 |
|  25 | 2020-12-14 |   23 |     5 |
|  26 | 2020-12-15 |    0 |     0 |
|  26 | 2020-12-15 |    1 |     0 |
|  26 | 2020-12-15 |    2 |     1 |
|  27 | 2020-12-15 |    3 |     2 |
|  28 | 2020-12-15 |    4 |     1 |
|  29 | 2020-12-15 |    5 |     1 |
|  29 | 2020-12-15 |    6 |     0 |
|  29 | 2020-12-15 |    7 |     0 |
|  30 | 2020-12-15 |    8 |     5 |
|  31 | 2020-12-15 |    9 |     6 |
|  32 | 2020-12-15 |   10 |     9 |
|  33 | 2020-12-15 |   11 |     7 |
|  34 | 2020-12-15 |   12 |    14 |
|  35 | 2020-12-15 |   13 |     8 |
|  36 | 2020-12-15 |   14 |    26 |
|  37 | 2020-12-15 |   15 |    24 |
|  38 | 2020-12-15 |   16 |    14 |
|  39 | 2020-12-15 |   17 |    14 |
|  40 | 2020-12-15 |   18 |    18 |
|  41 | 2020-12-15 |   19 |    19 |
|  42 | 2020-12-15 |   20 |    25 |
|  43 | 2020-12-15 |   21 |    14 |
|  44 | 2020-12-15 |   22 |     5 |
|  45 | 2020-12-15 |   23 |     9 |
|  46 | 2020-12-16 |    0 |     2 |
|  46 | 2020-12-16 |    1 |     0 |
|  47 | 2020-12-16 |    2 |     2 |
|  48 | 2020-12-16 |    3 |     1 |
|  48 | 2020-12-16 |    4 |     0 |
|  48 | 2020-12-16 |    5 |     0 |
|  49 | 2020-12-16 |    6 |     2 |
|  50 | 2020-12-16 |    7 |     4 |
|  51 | 2020-12-16 |    8 |     5 |
|  52 | 2020-12-16 |    9 |     9 |
|  53 | 2020-12-16 |   10 |    11 |
|  54 | 2020-12-16 |   11 |    10 |
|  55 | 2020-12-16 |   12 |    13 |
|  56 | 2020-12-16 |   13 |    22 |
|  57 | 2020-12-16 |   14 |     8 |
|  58 | 2020-12-16 |   15 |    22 |
|  59 | 2020-12-16 |   16 |    24 |
|  60 | 2020-12-16 |   17 |    24 |
|  61 | 2020-12-16 |   18 |    18 |
|  62 | 2020-12-16 |   19 |    19 |
|  63 | 2020-12-16 |   20 |    27 |
|  64 | 2020-12-16 |   21 |    18 |
|  65 | 2020-12-16 |   22 |     9 |
|  66 | 2020-12-16 |   23 |     3 |
|  67 | 2020-12-17 |    0 |     2 |
|  68 | 2020-12-17 |    1 |     3 |
|  69 | 2020-12-17 |    2 |     2 |
|  69 | 2020-12-17 |    3 |     0 |
|  70 | 2020-12-17 |    4 |     1 |
|  71 | 2020-12-17 |    5 |     2 |
|  72 | 2020-12-17 |    6 |     2 |
|  73 | 2020-12-17 |    7 |     2 |
|  74 | 2020-12-17 |    8 |     6 |
|  75 | 2020-12-17 |    9 |     9 |
|  76 | 2020-12-17 |   10 |    11 |
|  77 | 2020-12-17 |   11 |    12 |
|  78 | 2020-12-17 |   12 |    14 |
|  79 | 2020-12-17 |   13 |    24 |
|  80 | 2020-12-17 |   14 |    28 |
|  81 | 2020-12-17 |   15 |    30 |
|  82 | 2020-12-17 |   16 |    22 |
|  83 | 2020-12-17 |   17 |    24 |
|  84 | 2020-12-17 |   18 |    19 |
|  85 | 2020-12-17 |   19 |    24 |
|  86 | 2020-12-17 |   20 |    25 |
|  87 | 2020-12-17 |   21 |    18 |
|  88 | 2020-12-17 |   22 |    16 |
|  89 | 2020-12-17 |   23 |     4 |
|  90 | 2020-12-18 |    0 |     5 |
|  90 | 2020-12-18 |    1 |     0 |
|  91 | 2020-12-18 |    2 |     1 |
|  92 | 2020-12-18 |    3 |     1 |
